,"Bernard ""Bernie"" Sanders",Donald J. Trump,Evan McMullin,GEO_ID,Gary Johnson,"Gloria Estela
 La Riva",Hillary Clinton,"Jerry
 White","Jill 
Stein",Laurence Kotlikoff,Mike Maturen,S1903_C01_001E,S1903_C01_001M,S1903_C01_002E,S1903_C01_002M,S1903_C01_003E,S1903_C01_003M,S1903_C01_004E,S1903_C01_004M,S1903_C01_005E,S1903_C01_005M,S1903_C01_006E,S1903_C01_006M,S1903_C01_007E,S1903_C01_007M,S1903_C01_008E,S1903_C01_008M,S1903_C01_009E,S1903_C01_009M,S1903_C01_010E,S1903_C01_010M,S1903_C01_011E,S1903_C01_011M,S1903_C01_012E,S1903_C01_012M,S1903_C01_013E,S1903_C01_013M,S1903_C01_014E,S1903_C01_014M,S1903_C01_015E,S1903_C01_015M,S1903_C01_016E,S1903_C01_016M,S1903_C01_017E,S1903_C01_017M,S1903_C01_018E,S1903_C01_018M,S1903_C01_019E,S1903_C01_019M,S1903_C01_020E,S1903_C01_020M,S1903_C01_021E,S1903_C01_021M,S1903_C01_022E,S1903_C01_022M,S1903_C01_023E,S1903_C01_023M,S1903_C01_024E,S1903_C01_024M,S1903_C01_025E,S1903_C01_025M,S1903_C01_026E,S1903_C01_026M,S1903_C01_027E,S1903_C01_027M,S1903_C01_028E,S1903_C01_028M,S1903_C01_029E,S1903_C01_029M,S1903_C01_030E,S1903_C01_030M,S1903_C01_031E,S1903_C01_031M,S1903_C01_032E,S1903_C01_032M,S1903_C01_033E,S1903_C01_033M,S1903_C01_034E,S1903_C01_034M,S1903_C01_035E,S1903_C01_035M,S1903_C01_036E,S1903_C01_036M,S1903_C01_037E,S1903_C01_037M,S1903_C01_038E,S1903_C01_038M,S1903_C01_039E,S1903_C01_039M,S1903_C01_040E,S1903_C01_040M,S1903_C02_001E,S1903_C02_001M,S1903_C02_002E,S1903_C02_002M,S1903_C02_003E,S1903_C02_003M,S1903_C02_004E,S1903_C02_004M,S1903_C02_005E,S1903_C02_005M,S1903_C02_006E,S1903_C02_006M,S1903_C02_007E,S1903_C02_007M,S1903_C02_008E,S1903_C02_008M,S1903_C02_009E,S1903_C02_009M,S1903_C02_010E,S1903_C02_010M,S1903_C02_011E,S1903_C02_011M,S1903_C02_012E,S1903_C02_012M,S1903_C02_013E,S1903_C02_013M,S1903_C02_014E,S1903_C02_014M,S1903_C02_015E,S1903_C02_015M,S1903_C02_016E,S1903_C02_016M,S1903_C02_017E,S1903_C02_017M,S1903_C02_018E,S1903_C02_018M,S1903_C02_019E,S1903_C02_019M,S1903_C02_020E,S1903_C02_020M,S1903_C02_021E,S1903_C02_021M,S1903_C02_022E,S1903_C02_022M,S1903_C02_023E,S1903_C02_023M,S1903_C02_024E,S1903_C02_024M,S1903_C02_025E,S1903_C02_025M,S1903_C02_026E,S1903_C02_026M,S1903_C02_027E,S1903_C02_027M,S1903_C02_028E,S1903_C02_028M,S1903_C02_029E,S1903_C02_029M,S1903_C02_030E,S1903_C02_030M,S1903_C02_031E,S1903_C02_031M,S1903_C02_032E,S1903_C02_032M,S1903_C02_033E,S1903_C02_033M,S1903_C02_034E,S1903_C02_034M,S1903_C02_035E,S1903_C02_035M,S1903_C02_036E,S1903_C02_036M,S1903_C02_037E,S1903_C02_037M,S1903_C02_038E,S1903_C02_038M,S1903_C02_039E,S1903_C02_039M,S1903_C02_040E,S1903_C02_040M,S1903_C03_001E,S1903_C03_001M,S1903_C03_002E,S1903_C03_002M,S1903_C03_003E,S1903_C03_003M,S1903_C03_004E,S1903_C03_004M,S1903_C03_005E,S1903_C03_005M,S1903_C03_006E,S1903_C03_006M,S1903_C03_007E,S1903_C03_007M,S1903_C03_008E,S1903_C03_008M,S1903_C03_009E,S1903_C03_009M,S1903_C03_010E,S1903_C03_010M,S1903_C03_011E,S1903_C03_011M,S1903_C03_012E,S1903_C03_012M,S1903_C03_013E,S1903_C03_013M,S1903_C03_014E,S1903_C03_014M,S1903_C03_015E,S1903_C03_015M,S1903_C03_016E,S1903_C03_016M,S1903_C03_017E,S1903_C03_017M,S1903_C03_018E,S1903_C03_018M,S1903_C03_019E,S1903_C03_019M,S1903_C03_020E,S1903_C03_020M,S1903_C03_021E,S1903_C03_021M,S1903_C03_022E,S1903_C03_022M,S1903_C03_023E,S1903_C03_023M,S1903_C03_024E,S1903_C03_024M,S1903_C03_025E,S1903_C03_025M,S1903_C03_026E,S1903_C03_026M,S1903_C03_027E,S1903_C03_027M,S1903_C03_028E,S1903_C03_028M,S1903_C03_029E,S1903_C03_029M,S1903_C03_030E,S1903_C03_030M,S1903_C03_031E,S1903_C03_031M,S1903_C03_032E,S1903_C03_032M,S1903_C03_033E,S1903_C03_033M,S1903_C03_034E,S1903_C03_034M,S1903_C03_035E,S1903_C03_035M,S1903_C03_036E,S1903_C03_036M,S1903_C03_037E,S1903_C03_037M,S1903_C03_038E,S1903_C03_038M,S1903_C03_039E,S1903_C03_039M,S1903_C03_040E,S1903_C03_040M,winner
Alameda,4206.0,95922.0,1291.0,0500000US06001,16906.0,3162.0,22222222.0,9.0,17830.0,27.0,71.0,572870,1547,274123,1720,72490,1108,3682,340,152916,1375,3732,243,41880,1151,24047,954,93677,1034,230375,1359,15368,741,213196,1523,221950,1573,122356,1079,383468,2054,175375,1862,208093,1817,288502,2330,134501,1662,65812,1440,29671,921,29154,1040,11203,712,149052,1820,94676,1775,85228,1476,33102,988,13264,602,8146,454,37792,1075,119818,2052,175416,2260,50442,1198,189402,1720,101787,1555,77767,1432,24020,880,87615,1700,60306,1466,27309,1070,572870,1547,47.9,0.3,12.7,0.2,0.6,0.1,26.7,0.2,0.7,0.1,7.3,0.2,4.2,0.2,16.4,0.2,40.2,0.2,2.7,0.1,37.2,0.3,38.7,0.3,21.4,0.2,383468,2054,45.7,0.4,54.3,0.4,75.2,0.5,35.1,0.4,17.2,0.4,7.7,0.2,7.6,0.3,2.9,0.2,38.9,0.4,24.7,0.4,22.2,0.4,8.6,0.3,3.5,0.2,2.1,0.1,9.9,0.3,31.2,0.5,45.7,0.5,13.2,0.3,189402,1720,53.7,0.7,41.1,0.7,12.7,0.5,46.3,0.7,31.8,0.7,14.4,0.5,92574,1023,101942,1035,49367,1733,63022,5299,116200,1742,79824,6577,70027,2586,87650,4911,72438,1565,108277,1318,42139,3516,104385,1456,107034,1519,58065,1375,111231,1163,115428,1788,108360,1485,132412,1645,141909,2477,54938,1373,40404,2573,70808,3253,55664,4156,95443,1617,114209,3109,135872,3207,113196,3535,117586,6068,117147,7655,40495,1805,75319,1588,143342,1945,147248,2645,55966,1534,50699,1508,40134,1319,95265,4335,63577,1372,51376,1148,102616,3109,Hillary Clinton
Alpine,1.0,217.0,1.0,0500000US06003,25.0,3.0,334.0,0.0,21.0,0.0,0.0,299,67,242,51,0,12,42,37,1,2,0,12,0,12,14,13,13,11,234,49,3,4,51,28,97,35,148,43,177,45,42,27,135,32,145,34,28,18,27,18,13,13,5,7,1,3,110,28,14,15,25,22,17,12,8,6,3,5,65,24,52,27,52,27,8,8,122,42,68,33,62,33,6,6,54,24,44,23,10,9,299,67,80.9,11.6,0.0,11.0,14.0,11.2,0.3,0.8,0.0,11.0,0.0,11.0,4.7,4.3,4.3,3.6,78.3,11.7,1.0,1.3,17.1,8.2,32.4,9.4,49.5,11.4,177,45,23.7,12.1,76.3,12.1,81.9,10.3,15.8,8.6,15.3,8.7,7.3,6.8,2.8,4.0,0.6,1.6,62.1,13.1,7.9,8.0,14.1,11.6,9.6,6.4,4.5,3.3,1.7,2.5,36.7,12.4,29.4,13.4,29.4,12.5,4.5,4.1,122,42,55.7,16.6,50.8,17.0,4.9,5.4,44.3,16.6,36.1,15.7,8.2,7.0,64688,12933,69063,12900,-,**,40417,25677,-,**,-,**,-,**,-,**,31250,13824,69375,12843,-,**,93750,57579,-,**,68500,20723,82813,19887,107813,25232,77188,18260,104250,30003,112500,45362,36563,10305,-,**,-,**,-,**,85000,20434,31250,13089,-,**,108906,11880,51250,42896,-,**,106563,60340,66250,19670,105000,43282,-,**,31932,21662,32000,22793,32045,26686,-,**,31786,31713,31786,29529,-,**,
Amador,100.0,10485.0,59.0,0500000US06005,804.0,55.0,6004.0,0.0,227.0,0.0,0.0,14090,432,13147,405,30,35,92,51,154,66,14,30,253,123,400,113,1103,164,12376,396,64,44,2764,288,5445,323,5817,261,9446,427,2929,281,6517,303,7741,373,2113,251,1015,230,516,165,690,215,300,126,5415,337,1619,241,1598,209,515,172,182,74,117,60,2566,251,3002,299,3079,355,799,173,4644,380,2598,269,2258,281,340,112,2046,252,1757,238,289,103,14090,432,93.3,1.2,0.2,0.2,0.7,0.4,1.1,0.5,0.1,0.2,1.8,0.9,2.8,0.8,7.8,1.1,87.8,1.4,0.5,0.3,19.6,1.7,38.6,2.1,41.3,1.8,9446,427,31.0,2.2,69.0,2.2,82.0,3.0,22.4,2.4,10.7,2.3,5.5,1.7,7.3,2.2,3.2,1.3,57.3,2.7,17.1,2.3,16.9,2.3,5.5,1.7,1.9,0.8,1.2,0.6,27.2,2.7,31.8,2.7,32.6,3.3,8.5,1.8,4644,380,55.9,3.8,48.6,4.5,7.3,2.4,44.1,3.8,37.8,3.8,6.2,2.2,61198,3241,60564,3725,-,**,-,**,72188,40739,-,**,66680,38485,56765,10324,80958,24336,59637,4228,-,**,64191,11457,71581,5698,48977,3551,74553,3660,77060,14511,73838,2838,81250,5287,97341,10821,34246,13076,30974,2982,50500,16033,50991,7193,70091,5610,75603,10479,98581,15883,91344,29905,54954,41388,119125,112696,53125,5735,58276,9994,93906,7446,114303,18302,29224,2241,28449,2525,26160,3456,68415,9133,30473,2694,28284,3859,43631,12811,
Butte,782.0,45144.0,340.0,0500000US06007,4625.0,501.0,41567.0,1.0,2594.0,0.0,10.0,86797,860,75685,887,982,176,1005,175,2672,262,64,50,2883,336,3506,310,9902,471,69556,801,7431,468,24013,607,30392,680,24961,532,51436,974,20145,700,31291,874,37186,863,13300,633,9872,585,4744,419,4378,465,2101,300,26446,833,10082,595,9213,661,4061,402,972,168,662,141,10959,584,17772,847,19052,824,3653,354,35361,1042,19008,763,14016,787,4992,447,16353,736,11083,629,5270,487,86797,860,87.2,0.6,1.1,0.2,1.2,0.2,3.1,0.3,0.1,0.1,3.3,0.4,4.0,0.4,11.4,0.5,80.1,0.5,8.6,0.5,27.7,0.6,35.0,0.7,28.8,0.6,51436,974,39.2,1.2,60.8,1.2,72.3,1.2,25.9,1.1,19.2,1.0,9.2,0.8,8.5,0.9,4.1,0.6,51.4,1.3,19.6,1.1,17.9,1.2,7.9,0.8,1.9,0.3,1.3,0.3,21.3,1.1,34.6,1.5,37.0,1.4,7.1,0.7,35361,1042,53.8,1.5,39.6,1.8,14.1,1.3,46.2,1.5,31.3,1.4,14.9,1.3,48443,1477,49998,1673,30094,8267,41691,10341,41981,6134,96630,29101,43014,3763,38779,4091,41843,2471,51185,1830,23845,3747,54725,3808,61169,2448,40679,2161,63825,1596,61130,3438,65255,1963,76778,2164,83977,4525,33167,3510,24143,2813,45241,4692,38346,8815,59798,2957,60357,4289,75559,3555,73785,7594,67400,16569,91944,16965,38776,3351,52352,2549,86760,3546,106692,7778,27205,1634,25863,2122,21350,1530,41151,3156,29554,3116,23359,1635,45953,5426,
Calaveras,75.0,13511.0,22.0,0500000US06009,1104.0,56.0,7944.0,0.0,424.0,0.0,0.0,17417,434,16254,435,90,74,210,105,216,86,35,18,127,74,485,154,1244,183,15140,443,228,105,2784,290,7131,391,7274,333,11776,528,2926,387,8850,472,9070,559,1795,275,1739,378,617,239,967,227,514,167,7149,513,2326,351,1216,221,746,205,254,147,85,83,3523,419,3554,442,3834,384,865,267,5641,426,2627,308,2181,298,446,168,3014,366,2410,337,604,162,17417,434,93.3,1.1,0.5,0.4,1.2,0.6,1.2,0.5,0.2,0.1,0.7,0.4,2.8,0.9,7.1,1.1,86.9,1.4,1.3,0.6,16.0,1.5,40.9,1.9,41.8,1.9,11776,528,24.8,2.9,75.2,2.9,77.0,3.7,15.2,2.3,14.8,3.1,5.2,2.0,8.2,1.8,4.4,1.4,60.7,3.3,19.8,2.8,10.3,1.8,6.3,1.8,2.2,1.3,0.7,0.7,29.9,3.1,30.2,3.5,32.6,3.1,7.3,2.3,5641,426,46.6,4.7,38.7,4.5,7.9,3.0,53.4,4.7,42.7,4.8,10.7,2.7,58151,3310,59561,3927,-,**,58452,35557,37963,12889,-,**,41161,29126,27307,17042,64038,27145,59309,3795,49459,24945,55221,16275,78556,5589,49260,3041,78161,5862,61311,13157,81128,3271,86705,5392,90444,9726,44974,3797,-,**,41683,16998,28258,26094,72063,8664,83788,16113,79292,17235,81059,46294,83667,64991,84543,45810,47177,6524,59938,11185,100464,6133,145720,21047,33910,3993,31781,3050,30225,4505,43975,7904,39489,8291,33071,8539,59500,12269,
Colusa,24.0,3551.0,12.0,0500000US06011,260.0,39.0,2661.0,0.0,85.0,0.0,0.0,7113,174,6315,179,138,43,98,52,123,42,13,15,300,101,126,46,3270,161,3404,145,216,84,2327,162,2689,160,1881,132,5466,216,2837,213,2629,207,4062,237,1895,194,795,155,551,136,609,134,391,119,2233,201,1052,167,1076,209,689,167,304,102,112,55,827,129,1601,188,2287,243,751,164,1647,183,850,122,764,122,86,41,797,127,682,128,115,52,7113,174,88.8,1.7,1.9,0.6,1.4,0.7,1.7,0.6,0.2,0.2,4.2,1.4,1.8,0.6,46.0,2.0,47.9,1.8,3.0,1.2,32.7,2.1,37.8,2.1,26.4,1.9,5466,216,51.9,3.3,48.1,3.3,74.3,3.3,34.7,3.3,14.5,2.7,10.1,2.4,11.1,2.4,7.2,2.2,40.9,3.3,19.2,2.9,19.7,3.7,12.6,3.0,5.6,1.9,2.0,1.0,15.1,2.2,29.3,3.4,41.8,4.0,13.7,3.0,1647,183,51.6,5.1,46.4,5.3,5.2,2.5,48.4,5.1,41.4,5.4,7.0,3.3,56704,4501,56696,4995,-,**,69167,33102,-,**,-,**,54211,21180,63269,12101,56375,8756,56609,4022,26429,14933,60503,6360,68010,4679,42171,4190,64177,3543,57645,6637,77201,9919,76189,5906,70744,5660,25729,7335,21484,3144,36544,11553,32417,14890,61504,6057,60536,8167,71493,8236,62411,11352,79250,12430,83472,27486,35461,8836,41377,3202,79127,3623,88208,8124,30293,4741,28393,6937,25438,6324,65938,31704,31139,4888,27333,8801,67621,25084,
Contra Costa,3204.0,115956.0,1355.0,0500000US06013,16123.0,1566.0,319287.0,0.0,8637.0,11.0,36.0,392277,1405,250537,1748,34458,967,1734,225,58220,951,1490,209,27644,995,18194,800,72153,1059,211708,1511,7390,633,121109,1309,166487,1304,97291,1097,282085,2128,127996,1496,154089,1594,215025,2317,96123,1655,47896,1402,23523,1073,19164,1026,8350,675,114433,1558,65682,1809,58866,1611,27580,1073,9438,684,6086,487,34742,1154,90657,1741,118342,1996,38344,1148,110192,1861,63028,1412,51870,1290,11158,751,47164,1387,34405,1228,12759,913,392277,1405,63.9,0.4,8.8,0.2,0.4,0.1,14.8,0.2,0.4,0.1,7.0,0.2,4.6,0.2,18.4,0.3,54.0,0.4,1.9,0.2,30.9,0.3,42.4,0.3,24.8,0.3,282085,2128,45.4,0.4,54.6,0.4,76.2,0.6,34.1,0.5,17.0,0.5,8.3,0.4,6.8,0.3,3.0,0.2,40.6,0.5,23.3,0.6,20.9,0.5,9.8,0.4,3.3,0.2,2.2,0.2,12.3,0.4,32.1,0.6,42.0,0.6,13.6,0.4,110192,1861,57.2,1.0,47.1,1.0,10.1,0.7,42.8,1.0,31.2,1.0,11.6,0.8,93712,926,100460,1184,61768,3159,73008,8984,112588,2981,89818,8604,62996,3698,80179,2571,69126,1790,105826,1092,44084,4303,96817,1788,111083,1605,66328,1263,107907,1187,108399,2063,107543,1308,127156,1321,134916,2883,55559,2066,41166,2018,72781,3976,70515,6696,97541,1652,108506,3218,129702,3241,115065,7722,108262,7029,110324,14809,52738,2540,83574,2323,135247,2426,140660,4302,55976,1372,49481,1615,43318,1584,89649,5257,65123,2960,53677,2523,95956,4509,
Del Norte,139.0,5134.0,58.0,0500000US06015,416.0,81.0,3485.0,0.0,245.0,0.0,0.0,9799,314,8072,279,170,117,576,125,232,70,0,23,302,122,447,140,990,160,7506,276,258,100,2629,266,3837,239,3075,163,6039,298,2390,248,3649,264,4305,326,1531,207,1374,253,736,189,360,138,123,81,3131,269,1272,239,841,165,418,154,236,92,141,75,1478,190,2411,309,1794,278,356,137,3760,322,1992,257,1811,250,181,82,1768,269,1341,231,427,151,9799,314,82.4,2.3,1.7,1.2,5.9,1.3,2.4,0.7,0.0,0.4,3.1,1.2,4.6,1.4,10.1,1.5,76.6,2.5,2.6,1.0,26.8,2.3,39.2,2.4,31.4,1.7,6039,298,39.6,3.5,60.4,3.5,71.3,4.2,25.4,3.1,22.8,4.0,12.2,3.0,6.0,2.3,2.0,1.3,51.8,4.0,21.1,3.9,13.9,2.6,6.9,2.4,3.9,1.5,2.3,1.2,24.5,3.2,39.9,4.4,29.7,4.3,5.9,2.3,3760,322,53.0,5.6,48.2,5.3,4.8,2.2,47.0,5.6,35.7,5.0,11.4,3.9,45258,5035,47039,6431,56226,35135,30500,16641,80735,63564,-,**,32759,15390,45718,14764,37348,10146,47969,7006,22745,7729,53118,4139,44753,10049,41294,6034,57654,5499,51958,9360,63994,5885,68685,4653,61616,10624,31134,4435,28095,10737,44524,16839,21270,2099,57238,11433,57391,17683,65684,17038,55372,2724,60774,9407,60139,25170,30700,7278,51847,7546,79070,5695,83929,34507,27083,4154,27366,7529,25781,8832,55446,45697,26934,6921,22819,8164,52740,21131,
El Dorado,713.0,49247.0,578.0,0500000US06017,5027.0,190.0,36404.0,0.0,1425.0,3.0,4.0,69172,735,62946,699,394,86,466,152,2489,223,99,40,847,196,1931,284,5931,361,58183,698,1156,255,15678,547,30702,516,21636,498,48535,837,17503,576,31032,730,40604,804,13674,508,5433,478,2623,334,2498,363,1206,264,25947,860,9193,634,8578,572,3219,396,1033,184,565,150,9334,526,15398,762,19627,753,4176,451,20637,878,10919,612,8918,582,2001,312,9718,662,7326,622,2392,320,69172,735,91.0,0.6,0.6,0.1,0.7,0.2,3.6,0.3,0.1,0.1,1.2,0.3,2.8,0.4,8.6,0.5,84.1,0.7,1.7,0.4,22.7,0.7,44.4,0.7,31.3,0.6,48535,837,36.1,1.0,63.9,1.0,83.7,1.1,28.2,1.0,11.2,0.9,5.4,0.7,5.1,0.7,2.5,0.5,53.5,1.5,18.9,1.2,17.7,1.2,6.6,0.8,2.1,0.4,1.2,0.3,19.2,1.0,31.7,1.5,40.4,1.3,8.6,0.9,20637,878,52.9,2.3,43.2,2.3,9.7,1.5,47.1,2.3,35.5,2.3,11.6,1.5,80582,2117,80035,2207,91250,46727,61250,52676,122314,22055,57788,30746,52938,4073,73277,16863,70684,6442,80514,2086,40559,5128,83829,4314,101742,3768,57282,4155,99248,2683,107339,5223,94845,2747,107169,2483,123874,3860,51096,4449,36358,8993,63852,9796,54417,27231,85599,3267,106091,6655,121154,7978,119464,13181,153625,43715,120875,39575,58131,6840,82420,3827,123620,3073,152579,14242,40833,2251,39143,2461,32861,3906,69583,12848,44399,5324,35946,5214,67183,7536,
Fresno,1417.0,124049.0,1070.0,0500000US06019,9246.0,875.0,141341.0,1.0,4300.0,3.0,17.0,304624,1206,209156,1924,16536,597,3405,377,25841,663,400,110,40345,1314,8941,643,134191,1257,121347,1138,11838,568,113342,1174,111851,974,67593,959,221080,1762,110079,1485,111001,1708,142835,1973,66136,1635,54277,1728,31712,1254,23968,1122,12231,889,78533,1699,49130,1522,42721,1321,27666,1026,13839,678,9191,656,31088,982,82436,1780,80525,1781,27031,1021,83544,1572,43947,1171,36403,1144,7544,524,39597,1145,29889,1055,9708,615,304624,1206,68.7,0.6,5.4,0.2,1.1,0.1,8.5,0.2,0.1,0.1,13.2,0.4,2.9,0.2,44.1,0.4,39.8,0.3,3.9,0.2,37.2,0.3,36.7,0.3,22.2,0.3,221080,1762,49.8,0.6,50.2,0.6,64.6,0.7,29.9,0.7,24.6,0.7,14.3,0.6,10.8,0.5,5.5,0.4,35.5,0.7,22.2,0.6,19.3,0.6,12.5,0.5,6.3,0.3,4.2,0.3,14.1,0.4,37.3,0.7,36.4,0.8,12.2,0.5,83544,1572,52.6,1.0,43.6,1.1,9.0,0.6,47.4,1.0,35.8,1.0,11.6,0.7,51261,808,54468,882,32571,3035,40022,7864,61069,4004,47000,28848,38685,1601,49073,3494,41192,787,66362,1272,26480,1953,51218,1300,62474,1258,42052,1009,57015,1265,46209,1533,66424,1503,75104,1365,69697,2479,29192,1099,21668,1177,40501,1668,34083,2873,57159,1733,52141,1897,62065,2705,56752,2773,58657,3397,57042,4522,23350,1505,39359,1571,79888,2150,92895,2986,31496,626,27539,1172,24719,1226,46548,5095,36320,1578,31565,1003,55144,3223,
Glenn,58.0,5788.0,31.0,0500000US06021,375.0,54.0,3065.0,0.0,97.0,0.0,2.0,10017,225,8650,287,46,59,228,95,293,109,12,21,613,212,175,83,3187,211,6221,220,298,140,3178,281,3794,177,2747,159,7390,339,3324,237,4066,333,5596,387,2401,242,1222,291,684,230,572,147,239,84,3244,315,1351,262,1668,278,745,164,299,109,83,57,1497,216,2553,334,2408,272,932,194,2627,276,1386,220,1191,212,195,78,1241,227,1007,217,234,76,10017,225,86.4,2.3,0.5,0.6,2.3,0.9,2.9,1.1,0.1,0.2,6.1,2.1,1.7,0.8,31.8,1.9,62.1,2.0,3.0,1.4,31.7,2.5,37.9,1.8,27.4,1.6,7390,339,45.0,3.1,55.0,3.1,75.7,4.2,32.5,3.2,16.5,3.8,9.3,3.1,7.7,2.0,3.2,1.1,43.9,3.2,18.3,3.3,22.6,3.8,10.1,2.2,4.0,1.5,1.1,0.8,20.3,2.8,34.5,3.8,32.6,3.5,12.6,2.7,2627,276,52.8,6.7,45.3,6.9,7.4,2.8,47.2,6.7,38.3,6.8,8.9,2.8,47395,3209,47540,3536,-,**,38462,16546,-,**,-,**,41968,10792,-,**,43845,4736,49539,3885,18125,17503,50731,5147,53561,5454,37544,5911,55364,3707,54389,6534,55833,3980,64345,4545,67837,9087,25486,3378,25046,6264,48446,11331,40203,15069,53424,4846,40795,4438,64477,15530,63750,21149,73413,37535,73750,68621,24856,3869,47610,4916,67097,9784,94329,3760,19680,2250,16555,3408,15083,3612,-,**,28844,10637,21297,5443,45479,4601,
Humboldt,1264.0,18373.0,181.0,0500000US06023,2163.0,379.0,33200.0,0.0,3681.0,0.0,5.0,54267,676,46207,673,559,185,2311,268,1140,162,204,149,1602,297,2244,356,4015,333,44324,593,3644,356,16646,443,19229,514,14748,327,30101,794,12260,545,17841,658,20626,736,7172,482,6034,474,3125,395,3441,410,1963,311,16360,691,5559,485,5175,487,1884,304,656,171,467,155,5367,405,11069,634,11307,774,2358,286,24166,804,12075,540,9231,536,2844,300,12091,659,8687,636,3404,383,54267,676,85.1,0.8,1.0,0.3,4.3,0.5,2.1,0.3,0.4,0.3,3.0,0.5,4.1,0.6,7.4,0.6,81.7,0.8,6.7,0.6,30.7,0.7,35.4,0.8,27.2,0.7,30101,794,40.7,1.5,59.3,1.5,68.5,1.8,23.8,1.5,20.0,1.4,10.4,1.3,11.4,1.3,6.5,1.0,54.4,1.5,18.5,1.6,17.2,1.5,6.3,1.0,2.2,0.6,1.6,0.5,17.8,1.2,36.8,2.0,37.6,2.1,7.8,1.0,24166,804,50.0,1.9,38.2,1.9,11.8,1.2,50.0,1.9,35.9,2.0,14.1,1.6,45528,1359,47445,1563,30257,13812,30957,7515,47266,11683,-,**,38594,6498,35357,9589,41250,4252,47889,1560,23103,2250,46102,2571,52504,2974,45268,2535,60961,1790,50039,2514,67772,2964,74475,2267,73194,4332,35942,2011,27336,4836,47159,10465,33266,5733,60525,2209,60113,4052,67987,11775,59188,6393,59167,23251,60451,20997,43450,3477,44933,3236,80567,6673,91786,17487,27314,1378,27099,1555,24398,1841,41496,3762,27730,2984,22360,2568,40833,5530,
